"UserID","ArtistID","Artist","Score"
"1504",14846,"!!!",10
"290",1686,"""Weird Al"" Yankovic",1
"388",1686,"""Weird Al"" Yankovic",10
"2007",14692,"(hed) Planet Earth",10
"1782",5423,"...And You Will Know Us by the Trail of Dead",4
"1062",5423,"...And You Will Know Us by the Trail of Dead",4
"485",5423,"...And You Will Know Us by the Trail of Dead",4
"708",5423,"...And You Will Know Us by the Trail of Dead",4
"180",5423,"...And You Will Know Us by the Trail of Dead",4
"455",19,":wumpscut:",10
"2059",640,"<U+0386><U+03BD><U+03BD>a <U+0392><U+03B9>ss<U+03B7>",10
"415",640,"<U+0386><U+03BD><U+03BD>a <U+0392><U+03B9>ss<U+03B7>",10
"906",640,"<U+0386><U+03BD><U+03BD>a <U+0392><U+03B9>ss<U+03B7>",10
"1418",640,"<U+0386><U+03BD><U+03BD>a <U+0392><U+03B9>ss<U+03B7>",10
"1909",640,"<U+0386><U+03BD><U+03BD>a <U+0392><U+03B9>ss<U+03B7>",10
"1128",640,"<U+0386><U+03BD><U+03BD>a <U+0392><U+03B9>ss<U+03B7>",10
"1880",640,"<U+0386><U+03BD><U+03BD>a <U+0392><U+03B9>ss<U+03B7>",10
"2033",640,"<U+0386><U+03BD><U+03BD>a <U+0392><U+03B9>ss<U+03B7>",10
"732",640,"<U+0386><U+03BD><U+03BD>a <U+0392><U+03B9>ss<U+03B7>",10
"691",640,"<U+0386><U+03BD><U+03BD>a <U+0392><U+03B9>ss<U+03B7>",10
"1318",640,"<U+0386><U+03BD><U+03BD>a <U+0392><U+03B9>ss<U+03B7>",10
"1253",640,"<U+0386><U+03BD><U+03BD>a <U+0392><U+03B9>ss<U+03B7>",10
"635",7714,"<U+0410>. <U+0421><U+0430><U+043F><U+043A><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439>",10
"1505",7714,"<U+0410>. <U+0421><U+0430><U+043F><U+043A><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439>",10
"1728",7714,"<U+0410>. <U+0421><U+0430><U+043F><U+043A><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439>",10
"124",7714,"<U+0410>. <U+0421><U+0430><U+043F><U+043A><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439>",10
"893",7714,"<U+0410>. <U+0421><U+0430><U+043F><U+043A><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439>",10
"520",7714,"<U+0410>. <U+0421><U+0430><U+043F><U+043A><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439>",10
"1642",7714,"<U+0410>. <U+0421><U+0430><U+043F><U+043A><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439>",10
"665",7714,"<U+0410>. <U+0421><U+0430><U+043F><U+043A><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439>",10
"575",7714,"<U+0410>. <U+0421><U+0430><U+043F><U+043A><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439>",10
"210",7714,"<U+0410>. <U+0421><U+0430><U+043F><U+043A><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439>",10
"493",7714,"<U+0410>. <U+0421><U+0430><U+043F><U+043A><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439>",10
"767",7714,"<U+0410>. <U+0421><U+0430><U+043F><U+043A><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439>",10
"59",1788,"<U+0410><U+0433><U+0430><U+0442><U+0430> <U+041A><U+0440><U+0438><U+0441><U+0442><U+0438>",10
"1614",1788,"<U+0410><U+0433><U+0430><U+0442><U+0430> <U+041A><U+0440><U+0438><U+0441><U+0442><U+0438>",10
"592",1788,"<U+0410><U+0433><U+0430><U+0442><U+0430> <U+041A><U+0440><U+0438><U+0441><U+0442><U+0438>",10
"1551",1788,"<U+0410><U+0433><U+0430><U+0442><U+0430> <U+041A><U+0440><U+0438><U+0441><U+0442><U+0438>",10
"2046",1788,"<U+0410><U+0433><U+0430><U+0442><U+0430> <U+041A><U+0440><U+0438><U+0441><U+0442><U+0438>",10
"1999",1788,"<U+0410><U+0433><U+0430><U+0442><U+0430> <U+041A><U+0440><U+0438><U+0441><U+0442><U+0438>",10
